condition,color_type,length(m),height(cm),X1,X2,breed_category,pet_category,total_days
0,5,5.0,44.1,0,1,1,1,0.66
0,30,52.0,13.25,2,9,1,1,1.06
1,1,62.0,32.76,0,1,0,2,0.36
1,43,42.0,10.38,0,8,0,2,1.08
1,1,53.0,42.92,1,9,0,1,3.22
0,1,7.000000000000001,7.09,2,9,1,1,2.06
0,5,41.0,35.07,0,1,1,2,1.08
2,34,54.0,17.01,0,7,0,2,9.35
0,43,19.0,30.01,1,9,1,2,2.11
3,15,44.0,49.68,2,4,2,1,2.06
0,38,67.0,15.38,0,7,1,2,3.09
1,38,70.0,12.53,0,7,0,2,3.81
1,12,80.0,29.12,0,1,0,2,2.07
2,15,33.0,46.54,2,4,0,1,0.25
0,38,9.0,20.71,0,1,1,2,1.07
1,43,62.0,35.64,2,1,0,1,0.24
1,1,83.0,17.96,0,7,0,1,1.98
0,1,4.0,43.27,0,1,1,2,0.90
1,30,38.0,32.15,2,9,0,1,1.07
0,5,10.0,44.25,0,1,1,2,2.08
2,15,73.0,35.42,2,2,0,1,0.26
0,15,31.0,49.06,0,1,1,1,8.55
0,42,30.0,23.88,0,7,1,2,5.07
3,31,49.0,39.78,2,4,2,4,2.06
1,1,24.0,40.52,0,7,0,1,3.06
2,1,79.0,39.36,0,3,0,1,3.07
3,15,17.0,32.6,1,9,2,1,0.07
2,16,27.0,32.8,2,4,0,1,8.06
1,10,57.99999999999999,39.96,0,1,0,2,2.12
0,1,18.0,48.06,0,7,1,2,8.07
0,43,1.0,30.99,0,1,1,2,1.07
0,12,56.00000000000001,16.55,2,1,1,2,2.96
0,30,46.0,27.83,0,1,1,1,0.25
1,12,45.0,35.75,0,1,0,2,3.12
3,31,15.0,36.73,2,1,2,0,0.56
2,42,64.0,35.69,1,9,1,2,2.07
1,30,30.0,29.19,0,1,0,1,2.10
1,30,32.0,40.57,2,9,0,1,3.06
1,1,10.0,7.12,0,7,0,2,3.10
1,1,101.0,32.98,2,1,0,2,1.16
0,5,1.0,43.68,0,1,1,1,3.12
0,39,89.0,12.65,0,1,1,1,2.15
1,43,46.0,19.38,0,1,0,1,0.41
0,15,91.0,45.39,0,1,1,1,1.10
2,15,43.0,49.54,2,9,1,1,1.07
0,15,67.0,42.6,0,1,1,1,0.27
1,1,93.0,20.02,0,1,0,2,0.27
0,38,101.0,22.2,0,7,1,2,1.07
0,29,41.0,6.47,0,1,1,1,2.10
1,1,2.0,36.19,2,9,0,1,1.07
0,39,44.0,25.45,0,1,1,1,0.25
1,38,21.0,31.52,0,7,0,2,3.58
0,9,11.0,42.76,0,1,1,1,0.39
0,19,84.0,22.98,0,7,1,2,5.04
0,1,9.0,8.86,0,1,1,1,4.78
1,30,6.0,15.46,0,1,0,1,0.43
2,43,61.0,25.47,0,7,0,2,0.62
2,30,81.0,42.33,2,4,0,1,2.06
1,19,14.000000000000002,45.05,0,7,0,2,8.06
2,1,5.0,31.45,1,9,1,1,8.07
2,15,82.0,17.62,2,2,1,1,10.06
1,1,81.0,29.03,0,1,0,1,0.39
0,43,76.0,46.05,0,1,1,2,3.41
1,1,92.0,11.19,0,1,0,1,2.07
3,17,99.0,44.23,1,9,2,1,0.06
3,31,16.0,8.42,2,4,2,4,2.06
2,4,33.0,33.54,1,9,0,1,0.12
2,1,95.0,44.05,1,9,1,1,0.38
2,31,17.0,33.19,2,4,1,4,3.06
1,38,14.000000000000002,17.85,1,9,0,2,0.26
2,15,37.0,17.3,0,1,0,1,0.23
1,2,41.0,24.66,0,1,0,2,0.28
1,21,52.0,6.25,0,1,0,1,1.07
1,43,91.0,24.31,0,7,0,2,1.64
0,9,69.0,42.55,0,1,1,1,0.24
0,1,4.0,5.4,0,7,1,2,5.06
1,30,3.0,8.12,0,1,0,1,0.24
0,38,18.0,26.67,0,1,1,2,0.59
0,39,4.0,13.85,0,1,1,1,0.26
1,1,8.0,29.65,0,7,0,2,4.06
2,43,20.0,32.09,1,9,0,2,0.57
2,1,15.0,31.43,0,7,0,2,1.58
1,13,63.0,22.83,0,1,0,2,1.13
1,5,90.0,24.96,2,1,0,1,0.48
2,1,81.0,43.14,1,9,0,1,0.16
0,24,36.0,15.45,0,1,1,2,0.64
0,15,49.0,7.78,1,9,1,1,1.48
2,1,27.0,12.54,1,9,0,1,0.14
3,12,97.0,46.19,0,3,2,4,2.23
2,18,53.0,20.28,2,5,1,1,0.28
1,43,40.0,47.42,0,7,0,2,7.06
1,7,4.0,45.23,0,7,0,2,3.06
0,15,77.0,27.39,0,7,1,1,13.08
0,5,19.0,26.1,1,9,1,1,0.32
1,7,50.0,12.22,0,7,0,2,5.26
0,13,90.0,48.26,0,1,1,2,2.15
1,9,30.0,31.37,2,1,0,1,0.34
0,9,91.0,27.96,0,1,1,1,1.20
0,40,100.0,27.77,0,1,1,1,0.25
1,38,53.0,22.5,2,1,0,2,0.21
0,43,49.0,18.86,1,9,1,2,4.08
2,1,48.0,12.48,2,4,0,1,2.05
0,43,73.0,9.2,0,7,1,2,5.07
0,43,21.0,47.6,0,7,1,2,1.06
2,1,91.0,41.92,1,9,1,2,1.07
0,1,69.0,41.93,0,7,1,2,3.06
0,30,6.0,33.95,2,1,1,1,1.39
1,15,37.0,26.27,0,1,0,1,0.32
1,30,47.0,7.59,0,7,0,1,1.06
1,15,88.0,44.54,0,1,0,1,0.29
1,1,9.0,29.71,0,7,0,2,2.09
1,38,87.0,20.66,0,1,0,2,2.15
1,30,66.0,23.94,2,1,0,1,0.38
1,43,64.0,41.35,0,7,0,2,4.06
2,42,51.0,13.5,1,9,1,2,5.07
2,32,28.999999999999996,6.67,1,9,0,2,2.14
0,1,4.0,9.82,0,7,1,2,12.10
2,4,16.0,8.04,2,1,0,1,0.21
2,15,61.0,39.88,0,1,1,1,0.24
2,12,66.0,18.9,2,4,1,2,9.07
0,30,15.0,36.78,0,1,1,1,0.37
1,1,19.0,25.17,0,1,0,2,1.08
3,1,73.0,29.2,0,4,2,4,0.25
2,43,49.0,5.36,1,9,1,2,0.61
1,5,33.0,17.73,0,1,0,1,0.32
1,1,73.0,35.55,0,1,0,1,5.11
3,30,87.0,16.35,1,9,2,1,0.13
1,38,63.0,30.38,0,7,0,2,6.52
2,15,9.0,31.36,2,4,0,1,0.41
1,30,24.0,12.49,1,9,0,1,0.61
0,1,101.0,17.1,0,1,1,2,1.23
2,43,90.0,35.86,1,9,0,2,0.08
1,31,6.0,43.61,2,1,0,2,1.82
0,38,42.0,19.77,0,1,1,2,1.10
1,22,12.0,25.23,0,1,0,2,1.24
0,40,33.0,32.86,0,1,1,1,0.30
2,40,26.0,31.88,2,9,1,1,2.06
2,17,96.0,45.54,0,1,1,1,0.27
0,16,62.0,47.82,0,1,1,2,3.17
1,43,90.0,35.33,0,7,0,2,3.42
2,15,10.0,33.83,2,9,1,1,0.32
1,15,85.0,34.59,0,1,0,1,0.51
1,5,56.00000000000001,15.28,1,9,0,1,5.08
1,1,47.0,30.8,0,7,0,2,2.21
1,1,8.0,8.46,2,9,0,1,0.32
0,44,45.0,35.76,0,7,1,2,1.08
0,1,54.0,15.61,2,1,1,1,0.32
0,43,6.0,41.49,1,9,1,2,0.95
1,43,15.0,28.19,0,7,0,2,1.37
1,1,87.0,25.13,2,1,0,2,0.26
1,1,63.0,46.43,0,1,0,2,4.08
2,1,81.0,12.33,1,9,0,2,0.48
1,21,28.000000000000004,46.19,2,1,0,1,0.29
1,21,95.0,35.16,0,1,0,1,0.27
0,21,60.0,34.45,0,1,1,1,0.36
0,43,53.0,9.0,0,7,1,2,0.49
1,38,53.0,47.79,0,1,0,2,0.32
0,13,62.0,41.68,1,9,1,2,1.26
1,43,96.0,32.02,0,1,0,2,1.07
2,12,69.0,29.85,1,9,1,2,0.15
1,24,31.0,12.21,0,1,0,2,3.57
1,38,83.0,17.07,0,1,0,2,1.09
1,44,30.0,49.38,0,1,0,2,1.26
1,43,7.000000000000001,36.77,0,7,0,2,2.66
0,1,78.0,40.17,1,9,1,2,1.09
1,28,41.0,38.73,0,1,0,1,5.66
0,1,61.0,37.27,0,7,1,2,6.05
0,1,28.999999999999996,31.53,0,1,1,2,4.13
1,25,79.0,33.12,0,1,0,1,0.22
2,1,96.0,30.64,1,9,1,2,0.20
0,13,86.0,22.95,0,1,1,2,0.72
1,9,41.0,22.76,0,1,0,1,0.48
1,5,65.0,29.95,0,1,0,2,3.35
0,1,55.00000000000001,35.53,0,1,1,2,12.11
1,30,97.0,27.9,0,1,0,1,11.08
2,1,85.0,32.17,2,4,0,1,0.20
0,12,101.0,20.55,0,1,1,2,0.37
1,1,56.00000000000001,43.07,2,1,0,1,0.24
1,38,93.0,13.47,0,7,0,2,9.93
1,1,73.0,44.25,1,9,0,1,1.59
1,38,5.0,39.86,0,1,0,2,1.67
1,1,71.0,28.59,0,7,0,2,6.41
1,1,20.0,41.9,0,1,0,2,8.15
0,15,8.0,49.17,0,1,1,1,0.27
1,16,21.0,38.8,0,7,0,2,11.21
2,1,15.0,39.21,0,7,1,2,1.56
2,1,89.0,29.68,0,7,0,2,1.08
0,39,74.0,27.37,2,1,1,1,0.24
1,38,64.0,8.23,0,1,0,2,1.07
3,39,95.0,17.16,1,9,2,1,0.08
1,5,4.0,14.75,0,1,0,1,1.98
0,38,49.0,37.41,2,1,1,2,10.51
2,16,91.0,5.19,1,9,0,2,3.07
1,44,75.0,18.48,1,9,0,2,2.24
1,19,6.0,33.8,0,7,0,2,12.07
2,38,31.0,19.13,2,9,0,1,3.06
2,15,84.0,38.64,2,9,1,1,1.06
0,1,85.0,23.15,0,1,1,2,4.70
0,15,38.0,36.04,0,1,1,1,1.17
2,1,47.0,18.49,1,9,0,1,0.07
2,30,42.0,28.31,1,9,0,1,0.39
0,38,46.0,31.9,0,7,1,2,2.06
0,1,33.0,38.9,0,1,1,2,3.33
2,15,79.0,29.49,2,9,1,1,1.48
0,43,4.0,16.33,0,1,1,2,5.07
2,1,73.0,40.05,0,7,1,2,3.06
0,1,30.0,34.08,0,1,1,1,0.38
0,5,12.0,5.69,0,1,1,1,0.24
0,31,28.000000000000004,34.77,1,9,1,2,8.08
0,31,22.0,16.2,0,1,1,2,0.28
1,1,2.0,28.51,0,1,0,1,0.30
1,38,97.0,30.57,0,1,0,2,0.23
0,31,35.0,48.44,0,1,1,2,8.08
1,12,65.0,13.1,0,7,0,2,5.91
1,19,15.0,20.29,0,1,0,2,0.24
1,38,22.0,8.16,0,1,0,2,1.07
3,1,56.99999999999999,9.16,2,4,2,4,1.06
1,30,27.0,16.82,2,1,0,1,0.24
2,43,95.0,21.23,2,2,1,1,0.27
2,5,62.0,22.14,2,4,0,1,1.06
2,5,93.0,37.85,1,9,1,2,0.75
1,43,9.0,37.6,0,1,0,2,2.07
1,5,72.0,35.28,0,7,0,1,7.07
1,1,40.0,13.05,0,1,0,2,0.58
1,12,79.0,36.15,0,1,0,2,1.15
1,9,68.0,26.79,2,9,0,1,1.07
1,15,91.0,37.99,0,1,0,1,0.27
0,1,95.0,13.15,0,1,1,1,0.30
1,1,54.0,33.18,1,9,0,1,1.18
1,1,49.0,41.77,0,1,0,2,2.18
2,1,91.0,15.6,0,1,0,2,1.07
0,38,82.0,14.53,0,1,1,2,2.06
0,42,97.0,41.2,0,1,1,2,1.08
2,43,81.0,47.93,0,7,1,2,0.56
1,1,98.0,5.85,2,4,0,2,1.08
2,38,54.0,23.05,0,7,0,2,0.89
1,13,39.0,15.24,0,7,0,2,2.07
1,31,94.0,44.35,0,1,0,2,1.01
2,30,25.0,21.07,1,9,0,1,0.10
1,42,100.0,13.71,0,7,0,2,1.08
2,12,71.0,6.15,1,9,0,2,0.08
0,1,35.0,35.55,0,7,1,2,7.32
0,43,85.0,35.69,0,7,1,2,9.93
1,12,63.0,38.25,0,7,0,2,8.98
2,1,80.0,46.29,0,7,1,2,1.39
0,38,3.0,37.02,0,7,1,2,3.06
1,12,83.0,44.53,0,1,0,2,1.10
1,5,84.0,19.5,2,1,0,1,7.28
0,1,65.0,15.99,0,7,1,2,6.06
1,43,89.0,35.14,0,7,0,2,1.60
2,1,5.0,21.98,0,7,1,2,0.35
2,5,39.0,32.65,1,9,0,1,0.17
0,1,28.000000000000004,5.09,2,1,1,1,0.28
1,1,41.0,38.42,0,1,0,2,1.08
2,38,12.0,37.88,0,7,1,2,8.56
0,43,70.0,31.92,2,1,1,1,0.32
3,12,26.0,43.1,2,4,2,4,0.56
0,15,19.0,15.11,1,9,1,1,0.57
0,30,50.0,45.4,0,1,1,1,0.50
2,15,69.0,5.53,1,9,1,1,0.08
1,1,22.0,6.39,0,1,0,2,0.31
1,30,95.0,45.64,2,1,0,1,0.24
2,17,52.0,15.43,1,9,1,1,0.12
2,38,28.000000000000004,38.79,2,9,1,2,3.07
1,13,12.0,41.66,0,7,0,2,2.06
3,12,84.0,7.1,0,4,2,4,0.06
2,1,2.0,33.9,2,4,1,2,1.09
1,43,25.0,9.78,0,1,0,2,0.75
0,13,52.0,14.79,0,7,1,2,1.70
0,15,45.0,20.93,1,9,1,1,0.36
3,12,38.0,45.09,2,2,2,4,1.06
1,1,98.0,47.48,0,1,0,2,7.07
2,43,62.0,9.0,1,9,1,2,0.11
2,43,22.0,39.65,0,7,0,2,0.24
0,13,13.0,8.89,0,1,1,2,1.74
1,38,73.0,39.78,0,1,0,2,2.06
1,22,63.0,45.6,0,1,0,2,3.09
1,1,5.0,6.85,0,7,0,2,2.07
1,43,52.0,24.33,0,7,0,2,2.09
0,17,14.000000000000002,26.8,0,7,1,1,7.07
2,12,41.0,38.63,0,7,0,2,1.07
1,1,84.0,6.09,0,1,0,2,2.07
3,1,71.0,5.23,2,4,2,2,0.64
0,28,88.0,26.52,2,1,1,1,3.44
2,1,75.0,20.29,1,9,1,2,0.49
2,38,17.0,19.45,1,9,1,2,1.08
0,43,88.0,13.95,0,7,1,2,8.73
2,43,5.0,27.1,0,7,0,2,2.09
0,42,100.0,13.15,0,7,1,2,8.09
1,43,97.0,9.94,1,9,0,2,2.09
0,12,19.0,12.64,2,1,1,2,0.22
0,17,73.0,22.26,2,1,1,1,0.47
0,43,36.0,22.09,1,9,1,1,0.24
0,43,79.0,27.54,1,9,1,2,3.56
0,39,76.0,12.99,0,1,1,1,1.07
3,12,44.0,28.94,0,3,2,4,1.06
2,9,28.000000000000004,7.29,0,1,1,1,0.24
2,1,50.0,49.25,1,9,1,2,0.22
0,1,10.0,25.28,0,1,1,2,12.06
1,31,57.99999999999999,38.44,0,7,0,2,7.21
3,43,30.0,8.17,1,9,2,4,1.06
1,1,32.0,33.16,0,1,0,2,2.07
0,31,70.0,25.31,0,1,1,2,0.32
3,1,33.0,27.61,1,9,2,1,0.12
2,5,87.0,7.64,0,7,0,2,2.06
2,1,87.0,33.57,1,9,0,1,0.17
2,15,73.0,46.08,1,9,1,1,0.59
2,38,70.0,43.78,1,9,1,2,2.08
1,15,48.0,31.55,2,1,0,1,0.24
1,1,19.0,41.63,2,1,0,2,4.76
1,43,70.0,6.09,0,1,0,2,1.07
3,15,89.0,16.23,2,9,2,1,1.07
1,1,86.0,6.27,0,1,0,2,0.37
3,15,23.0,20.29,2,9,2,1,1.06
1,38,88.0,26.02,0,1,0,2,2.07
3,25,89.0,6.71,1,9,2,4,0.14
0,9,14.000000000000002,47.51,0,1,1,1,0.25
1,12,80.0,39.47,0,7,0,2,1.20
2,12,72.0,28.43,0,7,0,2,3.07
1,38,89.0,17.07,2,4,0,2,2.07
0,15,55.00000000000001,18.31,0,1,1,1,1.84
1,38,88.0,8.29,2,1,0,2,0.35
2,15,35.0,49.84,2,9,1,1,1.06
0,12,64.0,19.97,0,1,1,2,2.07
0,1,22.0,8.97,0,1,1,1,2.07
0,38,43.0,47.5,1,9,1,2,2.34
1,12,8.0,17.94,2,1,0,2,2.18
1,43,27.0,16.05,1,9,0,2,3.06
1,15,21.0,40.34,0,1,0,1,8.10
1,43,90.0,32.74,0,7,0,2,3.17
2,42,24.0,15.67,1,9,0,2,1.09
1,31,40.0,23.08,0,1,0,2,2.07
1,28,80.0,27.79,0,1,0,1,0.28
2,5,28.000000000000004,12.64,0,7,0,2,3.08
0,5,59.0,46.75,0,1,1,2,1.11
1,12,25.0,41.36,0,7,0,2,4.07
0,15,52.0,23.0,2,9,1,1,1.06
1,38,41.0,5.73,1,9,0,2,2.11
0,43,68.0,14.0,1,9,1,2,1.07
2,1,30.0,9.88,0,7,1,2,10.07
0,15,74.0,35.97,0,1,1,1,3.43
3,30,37.0,18.51,1,9,2,1,0.12
0,30,59.0,34.07,0,1,1,1,0.48
3,1,37.0,48.76,2,4,2,4,0.14
0,13,60.0,44.14,0,1,1,2,5.07
1,12,80.0,15.38,0,1,0,2,2.11
2,12,85.0,21.06,0,7,0,2,8.09
0,39,10.0,5.28,2,1,1,1,0.27
1,43,67.0,7.87,0,1,0,2,5.07
1,1,37.0,38.98,0,1,0,1,0.28
1,12,51.0,8.05,0,1,0,2,1.06
0,15,15.0,20.73,2,1,1,1,4.68
2,43,75.0,37.93,1,9,1,2,3.06
0,6,32.0,9.95,0,1,1,1,0.25
1,23,83.0,26.5,0,1,0,1,10.08
1,43,91.0,22.82,0,1,0,2,3.52
2,5,8.0,49.4,1,9,1,1,1.09
1,29,59.0,39.84,2,1,0,1,0.24
0,42,49.0,40.88,0,1,1,2,7.38
0,21,89.0,47.94,0,1,1,1,2.11
1,28,101.0,39.49,2,1,0,1,0.24
0,1,70.0,5.58,0,1,1,1,0.23
0,20,10.0,39.98,0,1,1,2,2.19
1,30,8.0,26.74,0,1,0,1,0.67
1,1,65.0,34.97,0,7,0,2,2.09
0,45,28.000000000000004,22.9,1,9,1,2,3.27
2,1,5.0,39.05,1,9,1,1,0.11
0,43,45.0,41.98,0,7,1,2,2.31
1,1,4.0,20.94,0,1,0,2,0.83
2,30,23.0,38.04,1,9,0,1,0.25
1,7,101.0,19.59,0,1,0,2,8.08
1,1,79.0,25.44,0,1,0,2,3.07
1,38,53.0,45.5,0,1,0,2,0.24
1,1,32.0,19.14,0,7,0,2,7.07
1,30,69.0,40.67,0,1,0,1,1.00
1,15,98.0,26.13,0,7,0,1,2.40
2,31,69.0,48.85,0,7,1,2,1.06
3,1,20.0,49.03,2,4,2,4,1.06
1,15,67.0,49.04,0,7,0,1,6.06
2,1,8.0,46.86,1,9,0,2,0.20
0,1,1.0,35.01,2,4,1,1,2.06
0,12,76.0,35.67,0,7,1,2,6.06
1,23,97.0,12.34,0,1,0,1,0.26
0,12,11.0,43.27,1,9,1,2,1.10
1,15,16.0,5.61,0,1,0,1,0.28
1,12,52.0,10.74,0,7,0,2,3.15
0,1,33.0,43.27,0,1,1,2,3.19
0,1,6.0,19.29,0,1,1,1,0.67
1,1,26.0,13.58,0,7,0,2,1.06
0,30,16.0,25.07,0,1,1,1,0.24
0,40,28.999999999999996,10.66,0,7,1,1,8.09
2,12,28.999999999999996,8.55,1,9,0,2,0.10
1,20,21.0,35.66,2,1,0,2,0.20
1,16,69.0,46.88,1,9,0,2,1.09
1,16,82.0,20.11,0,1,0,2,2.08
2,1,61.0,36.85,0,1,0,2,0.26
1,31,48.0,21.4,0,1,0,2,1.07
1,1,23.0,43.57,1,9,0,2,7.08
1,1,50.0,6.31,0,1,0,2,4.08
1,1,82.0,9.72,0,7,0,2,5.06
0,15,23.0,37.49,2,1,1,1,0.22
1,13,4.0,17.67,1,9,0,2,7.11
0,12,99.0,11.08,0,7,1,2,4.07
2,15,81.0,36.25,1,9,1,1,0.14
1,11,57.99999999999999,35.08,0,1,0,2,1.34
2,1,56.00000000000001,31.2,1,9,0,1,0.07
1,1,93.0,27.65,0,1,0,1,1.50
0,22,71.0,49.7,0,1,1,2,0.57
0,12,86.0,31.1,0,1,1,2,0.99
1,1,28.999999999999996,43.52,0,7,0,2,2.07
1,2,32.0,44.18,0,1,0,2,0.90
1,38,38.0,43.49,0,1,0,2,1.09
0,1,38.0,35.29,0,7,1,2,1.82
2,15,7.000000000000001,43.81,1,9,1,1,0.18
2,28,23.0,16.51,0,1,0,1,1.15
1,5,86.0,6.12,0,1,0,2,0.44
0,15,60.0,22.52,0,1,1,1,2.08
1,44,35.0,43.01,0,1,0,2,1.14
0,12,5.0,28.69,0,1,1,2,0.27
2,42,19.0,41.02,1,9,0,2,0.57
1,1,8.0,22.64,0,1,0,1,0.25
1,30,57.99999999999999,40.94,0,7,0,1,2.14
0,20,3.0,47.89,0,1,1,2,2.07
1,28,11.0,17.15,0,1,0,1,0.54
1,5,77.0,39.67,1,9,0,1,0.26
0,1,22.0,24.84,0,1,1,2,0.27
1,19,75.0,45.5,0,7,0,2,12.07
0,17,41.0,30.09,0,1,1,1,6.19
0,1,24.0,46.85,2,1,1,1,0.35
2,43,22.0,47.73,1,9,0,2,0.20
1,1,67.0,34.63,0,1,0,2,0.76
0,15,90.0,29.29,2,1,1,1,0.56
1,1,34.0,6.38,1,9,0,2,7.07
0,40,20.0,6.89,2,1,1,1,0.27
3,12,73.0,25.68,2,4,2,4,2.05
3,12,90.0,16.28,2,4,2,4,1.06
0,43,89.0,15.46,0,1,1,2,0.91
1,30,79.0,31.53,0,1,0,1,0.25
0,17,87.0,34.05,0,1,1,1,15.12
3,43,12.0,10.41,1,9,2,1,0.08
2,1,9.0,16.76,1,9,1,2,2.08
1,1,81.0,15.75,0,1,0,1,2.06
1,43,64.0,41.0,0,7,0,2,8.82
2,15,33.0,29.2,2,9,1,1,0.90
0,42,8.0,28.4,0,1,1,2,0.91
2,38,74.0,39.7,1,9,1,2,8.07
1,15,55.00000000000001,6.48,0,7,0,1,7.06
0,15,60.0,41.97,1,9,1,1,2.19
2,43,61.0,21.14,0,1,0,1,0.24
0,38,19.0,40.55,1,9,1,2,0.31
1,43,35.0,22.39,1,9,0,2,3.43
0,1,79.0,9.41,2,1,1,1,1.26
0,1,55.00000000000001,19.13,1,9,1,1,0.33
1,15,43.0,41.08,0,1,0,1,0.20
2,20,25.0,41.43,0,1,0,1,0.24
0,5,85.0,11.48,0,1,1,1,7.11
1,1,67.0,35.4,0,1,0,2,9.15
1,13,51.0,7.54,0,7,0,2,3.41
0,17,33.0,7.34,0,1,1,1,0.57
1,1,9.0,39.31,0,1,0,1,0.23
1,22,73.0,19.38,1,9,0,2,1.07
0,5,60.0,20.11,0,1,1,2,0.55
1,1,65.0,5.88,0,1,0,2,4.07
1,30,26.0,27.23,0,1,0,1,0.32
2,15,51.0,48.49,1,9,1,1,5.06
1,1,94.0,42.29,0,1,0,1,0.30
0,38,85.0,38.28,0,1,1,2,1.34
1,30,43.0,18.28,2,9,0,1,0.30
2,30,45.0,33.14,1,9,1,1,0.09
1,30,4.0,23.09,2,1,0,1,0.26
0,12,77.0,21.86,2,1,1,2,0.22
1,12,31.0,17.46,0,7,0,2,16.96
0,15,33.0,31.28,0,1,1,1,0.30
1,43,3.0,36.48,0,1,0,1,0.28
2,1,65.0,40.81,0,7,0,2,3.59
1,1,24.0,18.19,1,9,0,2,4.13
0,12,83.0,19.65,0,1,1,2,0.41
3,12,86.0,15.66,2,4,2,4,1.06
2,43,75.0,19.66,1,9,1,2,3.09
2,17,42.0,26.79,0,1,1,1,0.25
0,35,15.0,7.44,0,1,1,1,0.47
3,12,89.0,32.68,2,4,2,4,3.06
0,15,14.000000000000002,46.05,0,1,1,1,0.23
0,1,55.00000000000001,30.56,0,1,1,2,0.53
1,1,56.99999999999999,38.4,0,7,0,2,9.71
0,43,28.000000000000004,29.16,0,7,1,2,1.57
1,43,74.0,5.7,0,1,0,2,2.07
2,12,79.0,38.73,2,4,0,2,10.07
1,15,90.0,40.24,2,1,0,1,0.24
1,2,51.0,32.46,0,1,0,2,0.49
1,38,31.0,5.08,0,7,0,2,3.77
1,30,13.0,47.78,0,1,0,1,0.25
1,31,33.0,41.54,0,1,0,2,0.81
1,5,30.0,25.84,0,1,0,1,0.35
1,9,78.0,12.88,0,1,0,1,3.14
1,1,39.0,28.81,0,7,0,2,2.15
2,1,4.0,31.46,0,7,0,2,5.07
2,5,89.0,24.03,0,7,0,2,0.22
1,1,96.0,16.92,1,9,0,2,5.15
0,15,13.0,28.5,0,7,1,1,0.28
1,1,60.0,23.46,0,1,0,1,0.25
1,43,21.0,28.38,2,1,0,2,0.25
1,43,60.0,24.49,0,1,0,2,1.08
0,22,21.0,6.98,2,4,1,2,0.66
0,12,9.0,31.15,0,1,1,2,2.14
2,17,44.0,5.75,2,2,1,1,0.15
0,38,72.0,10.69,0,1,1,2,2.07
0,17,12.0,6.39,2,1,1,1,0.26
2,43,74.0,27.94,0,7,0,2,1.06
1,1,72.0,45.81,1,9,0,2,2.09
2,9,89.0,16.48,1,9,0,1,0.18
0,33,40.0,9.91,0,1,1,2,1.19
0,31,19.0,27.66,0,1,1,2,1.07
1,12,68.0,6.65,0,7,0,2,2.09
2,43,14.000000000000002,15.97,0,7,0,2,4.07
1,15,18.0,8.49,1,9,0,1,0.47
2,1,59.0,44.52,1,9,1,1,0.09
2,12,6.0,10.63,0,7,1,2,10.09
2,43,53.0,15.36,0,7,1,2,1.58
1,5,18.0,6.53,0,1,0,1,4.08
2,1,97.0,32.39,0,7,0,2,2.06
0,39,20.0,17.47,0,1,1,1,0.27
2,5,25.0,23.24,2,4,0,1,0.14
0,18,8.0,20.35,2,1,1,1,0.82
0,19,14.000000000000002,12.99,0,1,1,2,3.06
3,1,46.0,42.17,1,9,2,1,0.23
1,43,20.0,12.34,0,1,0,2,3.08
0,38,67.0,40.03,1,9,1,2,2.07
3,40,80.0,40.34,2,9,2,1,0.31
